id,stance_llm
0,neutral
1,negative
2,negative
3,positive
4,neutral
5,negative
6,neutral
7,neutral
8,neutral
9,positive
10,positive
11,positive
12,neutral
13,neutral
14,positive
15,neutral
16,negative
17,positive
18,neutral
19,neutral
20,negative
21,neutral
22,neutral
23,neutral
24,neutral
25,positive
26,positive
27,negative
28,positive
29,neutral
30,neutral
31,positive
32,neutral
33,positive
34,neutral
35,negative
36,neutral
37,negative
38,neutral
39,positive
40,neutral
41,neutral
42,negative
43,positive
44,neutral
45,neutral
46,positive
47,neutral
48,neutral
49,negative
50,neutral
51,positive
52,negative
53,negative
54,neutral
55,neutral
56,neutral
57,negative
58,positive
59,neutral
60,neutral
61,positive
62,positive
63,negative
64,neutral
65,neutral
66,neutral
67,positive
68,neutral
69,neutral
70,negative
71,neutral
72,negative
73,neutral
74,neutral
75,neutral
76,neutral
77,negative
78,positive
79,positive
80,negative
81,neutral
82,neutral
83,positive
84,positive
85,neutral
86,neutral
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,positive
93,neutral
94,neutral
95,positive
96,neutral
97,neutral
98,neutral
99,negative
100,neutral
101,positive
102,positive
103,neutral
104,neutral
105,negative
106,neutral
107,neutral
108,neutral
109,neutral
110,positive
111,positive
112,neutral
113,positive
114,neutral
115,neutral
116,positive
117,neutral
118,negative
119,positive
120,neutral
121,negative
122,neutral
123,neutral
124,neutral
125,positive
126,neutral
127,positive
128,neutral
129,neutral
130,neutral
131,negative
132,positive
133,neutral
134,positive
135,positive
136,negative
137,negative
138,neutral
139,positive
140,neutral
141,neutral
142,neutral
143,positive
144,positive
145,neutral
146,positive
147,positive
148,neutral
149,neutral
150,neutral
151,positive
152,negative
153,neutral
154,neutral
155,neutral
156,negative
157,neutral
158,neutral
159,neutral
160,neutral
161,neutral
162,neutral
163,neutral
164,neutral
165,positive
166,neutral
167,neutral
168,neutral
169,neutral
170,positive
171,negative
172,negative
173,positive
174,neutral
175,neutral
176,neutral
177,negative
178,neutral
179,neutral
180,neutral
181,positive
182,positive
183,neutral
184,negative
185,neutral
186,positive
187,neutral
188,positive
189,neutral
190,neutral
191,positive
192,negative
193,neutral
194,neutral
195,neutral
196,positive
197,neutral
198,neutral
199,positive
200,neutral
201,positive
202,neutral
203,positive
204,neutral
205,positive
206,neutral
207,positive
208,neutral
209,neutral
210,neutral
211,neutral
212,positive
213,positive
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,neutral
220,neutral
221,neutral
222,neutral
223,positive
224,neutral
225,neutral
226,neutral
227,negative
228,neutral
229,positive
230,positive
231,neutral
232,neutral
233,neutral
234,neutral
235,negative
236,neutral
237,neutral
238,neutral
239,neutral
240,neutral
241,positive
242,neutral
243,neutral
244,positive
245,neutral
246,neutral
247,neutral
248,neutral
249,positive
250,negative
251,negative
252,negative
253,neutral
254,neutral
255,neutral
256,neutral
257,neutral
258,negative
259,neutral
260,positive
261,negative
262,neutral
263,negative
264,positive
265,neutral
266,neutral
267,neutral
268,negative
269,neutral
270,neutral
271,neutral
272,negative
273,neutral
274,negative
275,neutral
276,neutral
277,neutral
278,neutral
279,neutral
280,positive
282,neutral
283,positive
284,neutral
285,neutral
286,positive
287,positive
288,neutral
289,neutral
290,neutral
291,neutral
292,neutral
293,neutral
294,neutral
295,positive
296,negative
297,positive
298,neutral
299,neutral
300,positive
301,neutral
302,neutral
303,neutral
304,positive
305,positive
306,positive
307,positive
308,negative
309,positive
310,negative
311,neutral
312,neutral
313,neutral
314,neutral
315,neutral
316,neutral
317,neutral
318,neutral
319,neutral
320,neutral
321,positive
322,neutral
323,neutral
324,neutral
325,neutral
326,neutral
327,positive
328,neutral
329,neutral
330,neutral
331,neutral
332,positive
333,neutral
334,neutral
335,neutral
336,neutral
337,negative
338,neutral
339,neutral
340,neutral
341,neutral
342,negative
343,neutral
344,neutral
345,neutral
346,neutral
347,positive
348,positive
349,neutral
350,positive
351,positive
352,neutral
353,positive
354,neutral
355,neutral
356,neutral
357,neutral
358,neutral
359,positive
360,neutral
361,positive
362,neutral
363,neutral
364,neutral
365,positive
366,neutral
367,neutral
368,negative
369,neutral
370,neutral
371,neutral
372,positive
373,neutral
374,neutral
375,positive
376,neutral
377,neutral
378,neutral
379,neutral
380,neutral
381,negative
382,neutral
383,neutral
384,neutral
385,negative
386,neutral
387,neutral
388,positive
389,neutral
390,neutral
391,negative
392,negative
393,neutral
394,neutral
395,positive
396,neutral
397,positive
398,positive
399,neutral
400,neutral
401,positive
402,neutral
403,neutral
404,positive
405,negative
406,neutral
407,neutral
408,neutral
409,neutral
410,neutral
411,neutral
412,neutral
413,neutral
414,neutral
415,neutral
416,positive
417,neutral
418,negative
419,neutral
420,neutral
421,negative
422,neutral
423,NA
424,neutral
425,neutral
426,positive
427,negative
428,neutral
429,neutral
430,negative
431,neutral
432,neutral
433,neutral
434,neutral
435,neutral
436,positive
437,positive
438,neutral
439,positive
440,positive
441,neutral
442,positive
443,neutral
444,neutral
445,neutral
446,neutral
447,negative
448,neutral
449,negative
450,positive
451,neutral
452,negative
453,neutral
454,neutral
455,neutral
456,neutral
457,positive
458,neutral
459,positive
460,neutral
461,neutral
462,neutral
463,positive
464,neutral
465,neutral
466,neutral
467,neutral
468,neutral
469,positive
470,negative
471,positive
472,negative
473,neutral
474,positive
475,positive
476,neutral
477,neutral
478,neutral
479,neutral
480,positive
481,neutral
482,neutral
483,positive
484,neutral
485,neutral
486,negative
487,neutral
488,positive
489,neutral
490,neutral
491,neutral
492,positive
493,neutral
494,neutral
495,neutral
496,neutral
497,positive
498,neutral
499,neutral
